iter	Passed	Remaining
706	314772	130450
707	315207	130000
708	315690	129571
709	316151	129132
710	316607	128691
711	317073	128254
712	317537	127816
713	318012	127383
714	318471	126943
715	318972	126520
716	319469	126094
717	319922	125652
718	320509	125261
719	321002	124834
720	321481	124401
721	321938	123959
722	322380	123512
723	322853	123076
724	323333	122643
725	323818	122212
726	324328	121790
727	324796	121352
728	325280	120920
729	325778	120493
730	326240	120052
731	326740	119626
732	327187	119180
733	327634	118733
734	328206	118332
735	328731	117914
736	329220	117482
737	329678	117040
738	330175	116611
739	330621	116164
740	331091	115725
741	331572	115290
742	332046	114853
743	332511	114412
744	332997	113979
745	333438	113529
746	333883	113082
747	334366	112647
748	334846	112211
749	335293	111764
750	335781	111331
751	336279	110900
752	336736	110456
753	337228	110024
754	337730	109594
755	338228	109163
756	338644	108706
757	339049	108245
758	339597	107829
759	340123	107407
760	340651	106985
761	341157	106555
762	341661	106125
763	342187	105702
764	342654	105259
765	343134	104821
766	343598	104378
767	343978	103910
768	344458	103471
769	344904	103023
770	345301	102560
771	345795	102125
772	346257	101682
773	346714	101236
774	347217	100805
775	347710	100369
776	348163	99923
777	348617	99477
778	349083	99034
779	349588	98601
780	350043	98155
781	350512	97713
782	350984	97271
783	351456	96829
784	351952	96394
785	352419	95951
786	352902	95512
787	353372	95069
788	353730	94597
789	354225	94161
790	354659	93709
791	355116	93262
792	355568	92815
793	356051	92376
794	356534	91936
795	357013	91495
796	357492	91055
797	357975	90615
798	358384	90156
799	358864	89716
800	359345	89275
801	359733	88811
802	360168	88360
803	360644	87918
804	361132	87479
805	361576	87029
806	362031	86582
807	362514	86142
808	362996	85701
809	363458	85255
810	363903	84806
811	364394	84367
812	364881	83927
813	365367	83486
814	365867	83049
815	366347	82607
816	366811	82162
817	367271	81715
818	367730	81268
819	368179	80819
820	368606	80366
821	369081	79922
822	369535	79474
823	369910	79009
824	370380	78565
825	370854	78121
826	371331	77678
827	371793	77232
828	372251	76785
829	372731	76342
830	373139	75885
831	373624	75443
832	374085	74996
833	374590	74558
834	375058	74113
835	375549	73672
836	376015	73226
837	376461	72776
838	376948	72334
839	377429	71891
840	377936	71452
841	378421	71010
842	378874	70561
843	379345	70115
844	379817	69670
845	380305	69228
846	380749	68777
847	381191	68326
848	381650	67878
849	382125	67433
850	382627	66993
851	383113	66550
852	383596	66106
853	384102	65666
854	384576	65220
855	385028	64771
856	385491	64323
857	385923	63870
858	386416	63428
859	386871	62979
860	387350	62533
861	387803	62084
862	388249	61633
863	388708	61185
864	389190	60740
865	389615	60286
866	390117	59845
867	390573	59396
868	391029	58946
869	391498	58499
870	391969	58052
871	392467	57609
872	392947	57164
873	393403	56714
874	393880	56268
875	394349	55821
876	394809	55372
877	395287	54926
878	395630	54461
879	396089	54012
880	396595	53569
881	397103	53127
882	397581	52680
883	398054	52233
884	398505	51783
885	398984	51336
886	399447	50887
887	399935	50442
888	400405	49994
889	400872	49546
890	401344	49098
891	401835	48652
892	402301	48204
893	402788	47757
894	403229	47306
895	403695	46857
896	404156	46408
897	404571	45953
898	405056	45506
899	405542	45060
900	406038	44614
901	406490	44164
902	406905	43709
903	407383	43261
904	407831	42811
905	408293	42361
906	408755	41912
907	409191	41459
908	409648	41009
909	410111	40560
910	410599	40113
911	411066	39664
912	411562	39217
913	412070	38772
914	412530	38322
915	412998	37873
916	413479	37425
917	413939	36975
918	414400	36524
919	414868	36075
920	415353	35627
921	415810	35177
922	416270	34726
923	416724	34276
924	417210	33827
925	417687	33378
926	418164	32929
927	418627	32479
928	419074	32028
929	419536	31577
930	419999	31127
931	420469	30677
932	420956	30229
933	421406	29778
934	421914	29330
935	422391	28881
936	422875	28432
937	423354	27982
938	423863	27535
939	424326	27084
940	424801	26634
941	425281	26185
942	425744	25734
943	426225	25284
944	426718	24835
945	427181	24384
946	427637	23933
947	428094	23481
948	428554	23030
949	429043	22581
950	429501	22129
951	429970	21679
952	430444	21228
953	430939	20779
954	431409	20328
955	431909	19878
956	432394	19428
957	432853	18976
958	433332	18526
959	433807	18075
960	434279	17624
961	434726	17172
962	435181	16720
963	435648	16269
964	436137	15818
965	436603	15367
966	437092	14916
967	437558	14464
968	438027	14013
969	438507	13562
970	438958	13109
971	439435	12658
972	439929	12207
973	440384	11755
974	440884	11304
975	441376	10853
976	441840	10401
977	442267	9948
978	442759	9497
979	443263	9046
980	443717	8593
981	444180	8141
982	444648	7689
983	445129	7237
984	445585	6785
985	446092	6333
986	446527	5881
987	447037	5429
988	447505	4977
989	447955	4524
990	448419	4072
991	448881	3620
992	449337	3167
993	449819	2715
994	450251	2262
995	450737	1810
996	451220	1357
997	451685	905
998	452164	452
999	452623	0
